Код;ОКВЭД;Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на теневые операции юридических лиц (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на операции неформального сектора экономики и на производство домашних хозяйств для собственного конечного использования (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами, в процентах к ВВП;year;source
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;38,4;2,5;35,9;1,363357245;2017;GVA_12_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;36,2;2,1;34,1;1,227387159;2018;GVA_12_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;33,2;1,9;31,2;1,17082384;2019;GVA_12_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;30,4;1,5;28,9;1,218135724;2020;GVA_12_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;28,4;1,3;27,1;1,099230463;2021;GVA_12_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;38,4;2,5;35,9;1,363357245;2017;GVA_04_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;36,2;2,1;34,1;1,227387159;2018;GVA_04_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;33,2;1,9;31,2;1,17082384;2019;GVA_04_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;30,6;1,5;29,1;1,223116321;2020;GVA_04_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;38,4;2,5;35,9;1,363357245;2017;GVA_02_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;36,2;2,1;34,1;1,227387159;2018;GVA_02_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;33,2;1,9;31,2;1,17082384;2019;GVA_02_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;30,6;1,5;29,1;1,223972017;2020;GVA_02_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;38,4;2,5;35,9;1,363357245;2017;GVA_12_2021
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;36,2;2,1;34,1;1,227387159;2018;GVA_12_2021
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;33,2;1,9;31,2;1,17082384;2019;GVA_12_2021
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;30,6;1,5;29,1;1,223972017;2020;GVA_12_2021
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;38,4;2,5;35,9;1,363357245;2017;GVA_04_2020
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;36,4;2,3;34,1;1,22721551;2018;GVA_04_2020
Раздел A;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;37,4;2,4;35;1,4;2016;NAs_08_2024
Раздел A;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;38,4;2,5;35,9;1,4;2017;NAs_08_2024
Раздел A;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;36,2;2,1;34,1;1,2;2018;NAs_08_2024
Раздел A;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;33,2;1,9;31,3;1,2;2019;NAs_08_2024
Раздел A;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;30,4;1,5;28,9;1,2;2020;NAs_08_2024
Раздел A;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;27,1;1,2;25,9;1,1;2021;NAs_08_2024
Раздел A;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;26,8;1,1;25,7;1;2022;NAs_08_2024
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;38,4;2,5;35,9;1,4;2017;NAs_08_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;36,2;2,1;34,1;1,2;2018;NAs_08_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;33,2;1,9;31,3;1,2;2019;NAs_08_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;30,6;1,5;29,1;1,2;2020;NAs_08_2022
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;38,4;2,5;35,9;1,4;2017;NAs_07_2020
Раздел A;СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО;36,4;2,3;34,1;1,2;2018;NAs_07_2020
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,1;2017;NA_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,1;2017;NA_2021
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,1;2017;NA_2019
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,1;2018;NA_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,1;2018;NA_2021
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,1;2019;NA_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,1;2019;NA_2021
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,1;2020;NA_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,1;2021;NA_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_02_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,070258249;2018;GVA_02_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,065360189;2019;GVA_02_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,066720489;2020;GVA_02_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,050854383;2021;GVA_02_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,054680657;2022;GVA_02_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_04_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,070258249;2018;GVA_04_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,065360189;2019;GVA_04_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,066720489;2020;GVA_04_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,050854383;2021;GVA_04_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,054737554;2022;GVA_04_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_12_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,070258249;2018;GVA_12_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,065360189;2019;GVA_12_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,066720489;2020;GVA_12_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,050854383;2021;GVA_12_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,054680657;2022;GVA_12_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_04_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,070258249;2018;GVA_04_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,065360189;2019;GVA_04_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,066720489;2020;GVA_04_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,051034351;2021;GVA_04_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_02_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,070258249;2018;GVA_02_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,065360189;2019;GVA_02_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,066720465;2020;GVA_02_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,051034351;2021;GVA_02_2023
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_12_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,070258249;2018;GVA_12_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,065360189;2019;GVA_12_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,066720465;2020;GVA_12_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,4;0,4;0;0,051034351;2021;GVA_12_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_04_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,070258249;2018;GVA_04_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,065360189;2019;GVA_04_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,066886868;2020;GVA_04_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_02_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,070258249;2018;GVA_02_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,065360189;2019;GVA_02_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,066933663;2020;GVA_02_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_12_2021
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,070258249;2018;GVA_12_2021
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,065360189;2019;GVA_12_2021
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,066933663;2020;GVA_12_2021
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,073600928;2017;GVA_04_2020
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,069743392;2018;GVA_04_2020
Раздел B;Добыча полезных ископаемых;0,8;0,8;0;0,1;2016;NAs_08_2024
Раздел B;Добыча полезных ископаемых;0,7;0,7;0;0,1;2017;NAs_08_2024
Раздел B;Добыча полезных ископаемых;0,6;0,6;0;0,1;2018;NAs_08_2024
Раздел B;Добыча полезных ископаемых;0,6;0,6;0;0,1;2019;NAs_08_2024
Раздел B;Добыча полезных ископаемых;0,8;0,8;0;0,1;2020;NAs_08_2024
Раздел B;Добыча полезных ископаемых;0,4;0,4;0;0,1;2021;NAs_08_2024
Раздел B;Добыча полезных ископаемых;0,4;0,4;0;0,1;2022;NAs_08_2024
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,1;2017;NAs_08_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,1;2018;NAs_08_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,1;2019;NAs_08_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,8;0,8;0;0,1;2020;NAs_08_2022
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,7;0,7;0;0,1;2017;NAs_07_2020
Раздел B;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,6;0,6;0;0,1;2018;NAs_07_2020
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;32,3;15,8;16,4;0,1;2002;NA_2010
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;31,7;15,5;16,2;0,1;2002;NA_2009
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,5;12,9;9,6;0,1;2003;NA_2011
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,5;12,9;9,6;0,1;2003;NA_2010
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,5;14,1;9,4;0,1;2003;NA_2009
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;18,5;12,4;6,2;0,1;2004;NA_2012
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;18,5;12,4;6,2;0,1;2004;NA_2011
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;18,6;12,4;6,2;0,1;2004;NA_2010
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;20,1;13,9;6,2;0,1;2004;NA_2009
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,4;12,3;12,1;0,1;2005;NA_2013
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,4;12,3;12,1;0,1;2005;NA_2012
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,4;12,3;12,1;0,1;2005;NA_2011
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,4;12,3;12,1;0,1;2005;NA_2010
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;21,2;11,2;10;0,1;2005;NA_2009
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,1;11,6;11,5;0;2006;NA_2014
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,1;11,6;11,5;0;2006;NA_2013
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,1;11,6;11,5;0;2006;NA_2012
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,1;11,6;11,5;0;2006;NA_2011
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,1;11,6;11,5;0;2006;NA_2010
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;21,2;11,2;10;0,1;2006;NA_2009
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,6;11,5;11,1;0;2007;NA_2015
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,6;11,5;11,1;0;2007;NA_2014
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,6;11,5;11,1;0;2007;NA_2013
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,6;11,5;11,1;0;2007;NA_2012
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,6;11,5;11,1;0;2007;NA_2011
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,6;11,5;11,1;0;2007;NA_2010
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;18,7;10,2;8,5;0;2007;NA_2009
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,6;11;12,6;0;2008;NA_2015
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,6;11;12,6;0;2008;NA_2014
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,6;11;12,6;0;2008;NA_2013
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,6;11;12,6;0;2008;NA_2012
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,6;11;23,6;0;2008;NA_2011
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,2;11,2;13;0;2008;NA_2010
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,1;10,5;13,6;0,1;2009;NA_2015
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,1;10,5;13,6;0,1;2009;NA_2014
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,1;10,5;13,6;0,1;2009;NA_2013
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,1;10,5;13,6;0,1;2009;NA_2012
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,1;10,5;13,6;0;2009;NA_2011
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;26,8;17,4;9,4;0,1;2010;NA_2015
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;26,8;17,4;9,4;0,1;2010;NA_2014
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;26,8;17,4;9,4;0,1;2010;NA_2013
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;21,4;11;10,3;0;2010;NA_2012
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;28,9;19,2;9,7;0;2011;NA_2017
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;28,3;18,8;9,5;0;2011;NA_2015
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;28,3;18,8;9,5;0;2011;NA_2014
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;28,3;18,8;9,5;0,1;2011;NA_2013
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;26,6;16,8;9,8;0;2012;NA_2017
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;27,2;17,8;9,4;0;2012;NA_2015
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;27,1;17,9;9,2;0;2012;NA_2014
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;25,2;15,9;9,3;0;2013;NA_2017
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;25,7;17,1;8,6;0;2013;NA_2015
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;21,7;12,6;9,1;0;2014;NA_2017
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;17,5;10,4;7,1;0;2015;NA_2017
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;32,26507633;15,84259703;16,4224793;0,086499628;2002;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,46156089;12,86006376;9,601497132;0,10103221;2003;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;18,52127076;12,369802;6,151468768;0,067144973;2004;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,40427816;12,34776168;12,05651648;0,062688959;2005;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,12687251;11,61701123;11,50986128;0,049894885;2006;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;22,6;11,5;11,1;0,041882694;2007;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;23,6;11;12,6;0,035904528;2008;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;24,1;10,5;13,6;0,050112158;2009;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;26,8;17,4;9,4;0,056077907;2010;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;28,3;18,8;9,5;0,049923346;2011;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;28,9;19,2;9,7;0,046476857;2011_2;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;26,6;16,8;9,8;0,042149972;2012;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;25,2;15,9;9,3;0,040786377;2013;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;21,7;12,6;9,1;0,037429615;2014;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;17,7;10,6;7,1;0,042629713;2015;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;18,2;11,4;6,8;0,047867749;2016;GVA_05_2021
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;28,9;19,2;9,7;0;2011;NAs_08_2018
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;26,6;16,8;9,8;0;2012;NAs_08_2018
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;25,2;15,9;9,3;0;2013;NAs_08_2018
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;21,7;12,6;9,1;0;2014;NAs_08_2018
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;17,7;10,6;7,1;0;2015;NAs_08_2018
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;17,7;11;6,6;0;2016;NAs_08_2018
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;29;19,2;9,7;0;2011;NAs_09_2016
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;27,5;17,4;10,1;0;2012;NAs_09_2016
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;26,4;16,7;9,7;0;2013;NAs_09_2016
Раздел B;РЫБОЛОВСТВО, РЫБОВОДСТВО;21,3;12,4;8,9;0;2014;NAs_09_2016
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;3,4;3,3;0,2;0,2;2002;NA_2010
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;3,4;3,2;0,2;0,2;2002;NA_2009
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;5,1;4,9;0,2;0,3;2003;NA_2011
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;5,1;4,9;0,2;0,3;2003;NA_2010
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;5;4,8;0,2;0,3;2003;NA_2009
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,2;0,2;0;0;2004;NA_2012
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,2;0,2;0;0;2004;NA_2011
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0,2;0,2;0;0;2004;NA_2010
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;3;3;0;0,2;2004;NA_2009
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2005;NA_2013
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2005;NA_2012
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2005;NA_2011
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2005;NA_2010
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2005;NA_2009
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2006;NA_2014
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2006;NA_2013
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2006;NA_2012
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2006;NA_2011
Раздел C;ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ;0;0;0;0;2006;NA_2010
